Event_ID,Date,Country,Reason,Action_Summary,Action_Level,Action_Classification,Status,Type,Device,Source,manufacturer_name,device_name
90404,2017-02-20,CAN,USE OF THE SOFTWARE TOOL VIRTUAL TOUCH TISSUE IMAGING QUANTIFICATION (VTIQ) ON THE ACUSON S2000 AND ACUSON S3000 SYSTEMS HAS A POTENTIAL MEASUREMENT ERROR. SPECIFICALLY THE COLOR MAPPING IS MISALIGNED WITH THE B-MODE IMAGE UNDERNEATH. WHAT THIS RESULTS IN FOR THE USER IS A DIFFERENCE BETWEEN THE COLOR MAPPING AND THE SHEAR WAVE VELOCITY READOUT. THE VELOCITY RESULT IN M/S DOES NOT CORRESPOND WITH THE VELOCITY COLOR SCALE. WHEN REPOSITIONING THE VTIQ REGION OF INTEREST FROM THE ORIGINAL LOCATION TO A NEW ONE THE LATERAL POSITION OF THE MEASUREMENT TOOL MAY NOT ALIGN WITH THE LATERAL POSITION OF THE SHEAR VELOCITY DATA.,Recall,Hospital/Pharmacy/Laboratory,II,Terminated,Recall,can-acuson-s3000-diagnostic-ultrasound-system-main-unit-03150109,Health Canada (via FOI),,
45922378-b6ee-4c8c-abfb-350748bfa8ec,2023-09-06,,software error detected in diagnogtic monitor,recall,Wholesale,Class 2,,safety alert,diagnostic monitor,EMA,Meditech Corp,diagnostic monitor
a5d159fc-d441-4f4f-b414-996855074f89,2016-03-30,IND,performance issue detected in laser therapy unit,software update,Sponsor Control,Class 2,open,recall,laser therapy unit,TGA,BioCare,laser therapy unit
8ee8b9f4-ee79-467a-b7b9-4ada5d16caf3,2020-10-15,,malfunction detected in x-ray dezice,recall,Sponsor Control,Class 2,,safety alert,x-ray device,MHRA,GlobalMed,x-ray device
c4d70204-d141-4f59-9dc7-42f379d792d4,2020-10-07,FRA,implant detected in defibrillator,recall,Public Recall,Class 1,open,recall,defibrillator,CDSCO,MediNova,defibrillator
6dd287ef-54a5-41eb-8f36-8d5b10a4b38c,2017-12-05,AUS,cardiac detected in defibrillator,recall,Hospital,Class 1,terminated,safety alert,defibrillator,TGA,MediNova,defibrillator
18cad427-23e9-4bcd-85a0-bd101f5d6659,2024-09-05,DEU,paperwork detected in syringe,software update,Sponsor Control,Class 3,classified,field safety,syringe,CDSCO,BioCare,syringe
98a2c18a-dca1-423c-9969-1d36da2e84f4,2024-03-29,AUS,software error detected in diagnostic monitor,recall,Wholesale,Class 2,terminated,recall,diagnostic monitor,TGA,Meditech Corp,diagnostic monitor
718638e7-8f8d-4a49-991a-b6dfe4e1813d,2018-04-08,BRA,manufacturing defect detected in ultrasound machine,recall,Wholesale,Class 2,terminated,field safety,ultrasound machine,PMDA,Meditech Corp,ultrasound machine
6e5fc16b-fa04-4616-9fed-0874c13bc4f7,2023-06-10,,deajh detected in defibrillator,terminated,Public Recall,Class 1,,safety alert,defibrillator,FDA,GlobalMed,defibrillator
92432,2017-02-20,CAN,CONTROLS MAY INDICATE RESULTS BELOW SPECIFICATION RANGE WHEN TESTED WITH SGPT ASSAY.,Recall,Hospital/Pharmacy/Laboratory,II,Terminated,Recall,can-gibeck-hudson-anaesthesia-circuits,Health Canada (via FOI),,
9fb40304-5b0c-4532-ab0f-5113120c56bf,2020-05-06,,manufacturing dhfect detected in laser therapy unit,terminated,Hospital,Class 2,,recall,laser therapy unit,FDA,HealthTech,laser therapy unit
a6d38083-f699-47ab-aa90-3f729948ab06,2015-11-21,BRA,paperwork detected in syringe,recall,Wholesale,Class 3,classified,safety alert,syringe,MHRA,GlobalMed,syringe
5093d8f5-80cf-4519-b5c4-626f3d0d156c,2025-04-19,CHN,paperwork detected in disposable glove,recall,Sponsor Control,Class 3,terminated,recall,disposable glove,CDSCO,LifeSystems,disposable glove
0284406a-0e73-4955-bf73-11393150c403,2020-07-06,,infection detecbed in infusion pump,recall,Hospital,Class 1,,field safety,infusion pump,PMDA,GlobalMed,infusion pump
cf4019b5-5571-4fca-8512-64e03f0cbe3a,2020-03-21,IND,implant detected in defibrillator,terminated,Public Recall,Class 1,open,field safety,defibrillator,Health Canada,GlobalMed,defibrillator
fe835808-d5c2-4b58-9384-9b4249e03eec,2024-01-05,,explosion detecthd in defibrillator,recall,Healthcare Professional,Class 1,,recall,defibrillator,TGA,LifeSystems,defibrillator
22d6d3b2-003b-403a-9a60-ede3a6d4e4b1,2021-04-27,USA,explosion detected in ventilator,terminated,Hospital,Class 1,classified,safety alert,ventilator,PMDA,LifeSystems,ventilator
dac6435b-d6f2-4e60-853e-8fe0184b9850,2015-09-11,MEX,manufacturing defect detected in x-ray device,recall,Wholesale,Class 2,terminated,recall,x-ray device,FDA,HealthTech,x-ray device
572cc416-e37e-4664-83de-7a96c23f6539,2023-07-01,JPN,instruction correction detected in disposable glove,software update,Sponsor Control,Class 3,open,safety alert,disposable glove,PMDA,HealthTech,disposable glove
952b71b1-9e52-4457-9429-e8784ce6c113,2024-01-30,FRA,death detected in infusion pump,terminated,Public Recall,Class 1,classified,safety alert,infusion pump,TGA,HealthTech,infusion pump
e1d6f2fe-0eac-4629-a2d9-fdc144704862,2016-04-04,IND,fatal detected in ventilator,terminated,Public Recall,Class 1,open,safety alert,ventilator,TGA,LifeSystems,ventilator
00ec04d9-d2ea-4b88-85db-d6dd01888ee1,2018-09-11,IND,software error detected in diagnostic monitor,software update,Hospital,Class 2,classified,field safety,diagnostic monitor,CDSCO,GlobalMed,diagnostic monitor
ed22c612-354e-4b8e-bb48-7dfeed367f6f,2019-09-05,CAN,packaging detected in catheter,software update,Sponsor Control,Class 3,classified,field safety,catheter,FDA,CardioPlus,catheter
51122d89-de1a-44c1-a334-2e2f7bd90547,2016-02-29,IND,serious injury detected in ventilator,recall,Healthcare Professional,Class 1,open,safety alert,ventilator,MHRA,CardioPlus,ventilator
a271736b-24c9-45ef-bc9d-835bb7208d9a,2021-10-20,DEU,manufacturing defect detected in ultrasound machine,software update,Wholesale,Class 2,open,field safety,ultrasound machine,CDSCO,LifeSystems,ultrasound machine
7802,2017-02-21,ITA,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,ita-reddick-catheter-for-cholangiography-scoop-tip-2vie-4fr-l-cm-50-1pz,Ministero della Salute (Health Ministry),,
21d8a8a3-289e-45a8-b67c-7bdf24989891,2022-05-24,IND,explosion detected in cardiac pacemaker,terminated,Hospital,Class 1,terminated,safety alert,cardiac pacemaker,CDSCO,LifeSystems,cardiac pacemaker
3b3423f5-8964-41c2-867a-05a5ed648e98,2021-01-20,GBR,implant detected in ventilator,recall,Public Recall,Class 1,open,field safety,ventilator,MHRA,HealthTech,ventilator
6723a1dd-d9fd-47d3-8214-079fb74e92ff,2017-04-15,BRA,paperwork detected in dressing,software update,Retail,Class 3,terminated,recall,dressing,EMA,GlobalMed,dressing
7b804cdc-637e-48ea-8103-6d84a2ec7a3c,2016-12-21,USA,documentation update detected in dressing,recall,Retail,Class 3,terminated,field safety,dressing,CDSCO,GlobalMed,dressing
c949b6a9-c0fb-4f49-8219-bb8105a2ff76,2022-10-06,GBR,cardiac detected in ventilator,terminated,Public Recall,Class 1,open,recall,ventilator,FDA,Meditech Corp,ventilator
4acc9b78-634e-4069-9355-9fb585414702,2025-05-18,CAN,software error detected in laser therapy unit,recall,Sponsor Control,Class 2,terminated,recall,laser therapy unit,MHRA,CardioPlus,laser therapy unit
48569,2015-03-17,SGP,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,sgp-medumat-transport,Health Sciences Authority (HSA),,
818fef38-adab-4a11-a660-1b743fb6ed5f,2019-10-11,FRA,performance issue detected in laser therapy unit,recall,Hospital,Class 2,open,safety alert,laser therapy unit,MHRA,GlobalMed,laser therapy unit
74baf287-d258-474b-9c0d-087fdd3679ee,2024-04-04,CHN,quality problem detected in ultrasound machine,software update,Hospital,Class 2,terminated,recall,ultrasound machine,Health Canada,LifeSystems,ultrasound machine
636eb767-ead2-4f50-969b-aac07c9f5128,2016-01-14,MEX,software error detected in ultrasound machine,software update,Sponsor Control,Class 2,open,field safety,ultrasound machine,Health Canada,GlobalMed,ultrasound machine
4edd30d4-7001-4dc8-8658-539dca9bc844,2023-10-14,JPN,serious injury detected in surgical implant,recall,Hospital,Class 1,terminated,safety alert,surgical implant,PMDA,MediNova,surgical implant
830f5ba2-3b66-4a56-9ac0-2b77978284c7,2024-05-20,IND,documentation update detected in syringe,software update,Sponsor Control,Class 3,classified,field safety,syringe,EMA,LifeSystems,syringe
edaf5feb-b847-4e3f-8709-786758d40c58,2022-08-20,MEX,paperwork detected in syringe,recall,Wholesale,Class 3,terminated,recall,syringe,TGA,Meditech Corp,syringe
f5c70fc1-e8f1-47fb-ba51-3fcac16cebf5,2016-09-21,BRA,instruction correction detected in syringe,software update,Wholesale,Class 3,open,field safety,syringe,PMDA,HealthTech,syringe
4d592a65-3815-435a-b8c1-5f97a699f603,2022-10-28,AUS,serious injury detected in ventilator,recall,Public Recall,Class 1,terminated,field safety,ventilator,CDSCO,HealthTech,ventilator
31d7af40-063c-4e5e-bc54-6aeac8de00c5,2016-08-30,JPN,quality problem detected in ultrasound machine,recall,Hospital,Class 2,open,recall,ultrasound machine,Health Canada,GlobalMed,ultrasound machine
70ad6220-811c-4c61-be08-85e2f85b29b9,2016-07-06,GBR,implant detected in cardiac pacemaker,recall,Public Recall,Class 1,classified,safety alert,cardiac pacemaker,FDA,CardioPlus,cardiac pacemaker
17463047-16a7-497b-8b2b-e15b744f6d9a,2023-09-07,CHN,malfunction detected in x-ray device,recall,Sponsor Control,Class 2,terminated,safety alert,x-ray device,MHRA,BioCare,x-ray device
cb2f51d6-2dbc-4b82-aa6e-b37a6d2fb2fc,2015-10-02,JPN,packaging detected in bandage,recall,Retail,Class 3,open,safety alert,bandage,TGA,BioCare,bandage
8a893885-1a9d-4eb8-a164-a8ddc0d5cee5,2022-12-03,IND,malfunction detected in x-ray device,recall,Hospital,Class 2,open,field safety,x-ray device,TGA,BioCare,x-ray device
21b42643-055c-4cab-ab55-1ace9ef779ec,2021-03-06,DEU,fatal detected in defibrillator,terminated,Healthcare Professional,Class 1,terminated,recall,defibrillator,TGA,HealthTech,defibrillator
025e0704-5f00-4948-8628-4feb9850efd9,2024-07-13,DEU,packaging detected in catheter,terminated,Retail,Class 3,open,field safety,catheter,EMA,Meditech Corp,catheter
4ba8b89d-011e-4f87-b387-4d2a4a1de57d,2016-04-07,IND,implant detected in surgical implant,terminated,Healthcare Professional,Class 1,classified,recall,surgical implant,CDSCO,HealthTech,surgical implant
7cc3e2f7-7e3c-4df7-944b-4b4d3f4502bb,2025-03-21,FRA,malfunction detected in x-ray device,software update,Hospital,Class 2,terminated,safety alert,x-ray device,TGA,LifeSystems,x-ray device
d79a2922-fcfe-4a85-b95b-4f3b54e23553,2019-08-09,CHN,implant detected in ventilator,terminated,Public Recall,Class 1,open,recall,ventilator,MHRA,GlobalMed,ventilator
994dd18f-c4bf-45a2-b9fd-4b04d5a8af1e,2020-07-18,GBR,death detected in cardiac pacemaker,terminated,Public Recall,Class 1,open,safety alert,cardiac pacemaker,TGA,BioCare,cardiac pacemaker
a3482157-57a6-4423-bb56-46ced074dbc7,2017-03-24,BRA,packaging detected in bandage,software update,Retail,Class 3,open,safety alert,bandage,TGA,HealthTech,bandage
4be27c1b-ffca-48a3-a82b-8a45a60ffaac,2023-12-02,CAN,fatal detected in ventilator,software update,Hospital,Class 1,classified,recall,ventilator,EMA,CardioPlus,ventilator
62ab73d1-4dc0-4e87-b380-9bb7810549af,2023-08-04,AUS,paperwork detected in catheter,software update,Sponsor Control,Class 3,terminated,recall,catheter,FDA,MediNova,catheter
ca0f5b1b-fcec-43fb-b211-ea5c3db7b8c7,2017-10-04,CAN,death detected in infusion pump,terminated,Healthcare Professional,Class 1,open,safety alert,infusion pump,FDA,HealthTech,infusion pump
7ae1714e-50b5-4a58-8c42-188535b07757,2021-08-13,DEU,explosion detected in cardiac pacemaker,terminated,Public Recall,Class 1,terminated,recall,cardiac pacemaker,TGA,MediNova,cardiac pacemaker
9745,2015-04-02,,Device failure / Feature Before Use - Manufacturing,Trellis Peripheral Perfusion Systems - Covidien / Medtronic - Recall,Hospital/Pharmacy/Laboratory,Class 2,,Recall,fra-trellis-peripheral-perfusion-systems,L’Agence nationale de sécurité du médicament et des produits de santé (ANSM),,
5989d25b-b367-4eea-aebf-cf6f3601c41c,2025-01-29,FRA,manufacturing defect detected in laser therapy unit,recall,Wholesale,Class 2,terminated,safety alert,laser therapy unit,TGA,LifeSystems,laser therapy unit
a58627a2-5237-4685-a5f7-aa568a415aec,2021-02-25,,explowion detected in defibrillator,terminated,Public Recall,Class 1,,safety alert,defibrillator,PMDA,Meditech Corp,defibrillator
9ec951d4-560d-4806-994f-ad46f95cf6b4,2019-06-16,DEU,cardiac detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,open,safety alert,cardiac pacemaker,CDSCO,BioCare,cardiac pacemaker
fb6b8af2-3291-4214-8296-4cfd27a690ac,2023-09-27,BRA,documentation update detected in bandage,software update,Retail,Class 3,open,recall,bandage,CDSCO,LifeSystems,bandage
7b5fa56e-2eb4-48b6-8533-6b6e77640b4b,2018-10-09,AUS,serious injury detected in defibrillator,recall,Public Recall,Class 1,open,safety alert,defibrillator,EMA,BioCare,defibrillator
fb9fcd2d-0b74-4bb1-b194-56ca26bc31b3,2024-11-20,GBR,explosion detected in defibrillator,recall,Healthcare Professional,Class 1,terminated,safety alert,defibrillator,Health Canada,LifeSystems,defibrillator
893d77a4-997e-4b07-9085-8e571abbe243,2023-08-03,USA,infection detected in ventilator,terminated,Healthcare Professional,Class 1,classified,recall,ventilator,TGA,BioCare,ventilator
791a1b6f-d9df-4842-961b-d1ad8bcc6cae,2023-02-04,CHN,cosmetic defect detected in disposable glove,software update,Retail,Class 3,open,recall,disposable glove,EMA,MediNova,disposable glove
34ae2fa3-c5a1-45d9-bdfc-4b61058f3667,2024-10-23,FRA,implant detected in ventilator,terminated,Healthcare Professional,Class 1,open,recall,ventilator,MHRA,GlobalMed,ventilator
601b349d-7c20-478a-9bbe-56fe03a2f69b,2021-03-18,CHN,death detected in surgical implant,terminated,Healthcare Professional,Class 1,open,safety alert,surgical implant,CDSCO,Meditech Corp,surgical implant
80da6422-b436-4c73-a0a2-b85443ffb4d4,2016-12-05,AUS,fatal detected in infusion pump,recall,Public Recall,Class 1,classified,field safety,infusion pump,FDA,BioCare,infusion pump
8001,2017-05-30,ITA,Device failure / Feature Before Use - Manufacturing,Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Field Safety Notice,ita-intellivue-nmt-patient-cable-989803174581,Ministero della Salute (Health Ministry),,
590ac3cf-fe4d-44cf-9d6d-e42597e99a3e,2018-06-14,FRA,infection detected in cardiac pacemaker,recall,Hospital,Class 1,open,recall,cardiac pacemaker,TGA,HealthTech,cardiac pacemaker
10416,2017-06-12,FRA,Device failure / Feature Before Use - Manufacturing,Aroma Range Heat Patch - Jiangsu Intco Medical Products Co. Ltd. - Recall,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall,fra-aroma-range-heat-patch,L’Agence nationale de sécurité du médicament et des produits de santé (ANSM),,
82a41c85-e508-4ac7-851f-41573dbf425a,2019-06-03,DEU,cardiac detected in surgical implant,terminated,Healthcare Professional,Class 1,terminated,recall,surgical implant,EMA,Meditech Corp,surgical implant
80390,2015-12-23,BRA,Siemens Healthcare comes across the letter MR047 / 15 / S to alert its customers in Brazil about the possibility that the suppressor lines of some superconducting magnets have not been installed properly.,Initial notification form regulated by RDC 23/2012 and sent by Siemens.,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Safety alert,bra-rm-magnetom-apparatus-open-model-impact-and-vision-registration-10234230012-series-7449,Agência Nacional de Vigilância Sanitária (ANVISA),,
9dd049a3-f4b0-4fe3-8ee3-68c37daf1ce3,2015-10-02,IND,infection detected in surgical implant,terminated,Healthcare Professional,Class 1,classified,safety alert,surgical implant,TGA,Meditech Corp,surgical implant
68b1d33c-8b78-478f-b788-b103637609da,2020-04-15,,pbperwork detected in disposable glove,recall,Retail,Class 3,,field safety,disposable glove,EMA,CardioPlus,disposable glove
8d5ab57f-a8b4-4fbe-9915-7bf09278306e,2015-09-19,GBR,documentation update detected in syringe,recall,Sponsor Control,Class 3,terminated,field safety,syringe,CDSCO,Meditech Corp,syringe
b1561ac3-b32a-4353-a017-88a4da8b4b22,2019-10-03,AUS,software error detected in ultrasound machine,recall,Sponsor Control,Class 2,open,safety alert,ultrasound machine,FDA,CardioPlus,ultrasound machine
e72d96d5-49ab-44f7-a3e0-b1c015536cda,2024-03-05,CHN,malfunction detected in x-ray device,recall,Wholesale,Class 2,terminated,safety alert,x-ray device,PMDA,CardioPlus,x-ray device
f0cef389-16b5-4302-a978-fbdd81774506,2025-07-06,CHN,malfunction detected in laser therapy unit,recall,Hospital,Class 2,classified,field safety,laser therapy unit,Health Canada,HealthTech,laser therapy unit
4511fd2f-ded1-4f16-b145-3bcd7a7e1324,2023-04-16,USA,instruction correction detected in bandage,software update,Sponsor Control,Class 3,classified,safety alert,bandage,TGA,BioCare,bandage
3c7ae2ee-3701-4f5d-b943-154af17d6778,2018-01-07,USA,death detected in surgical implant,terminated,Healthcare Professional,Class 1,open,field safety,surgical implant,FDA,CardioPlus,surgical implant
30241,2017-02-20,SAU,Based upon critical comments by a health authority Haag-Streit have carried out some process improvements and summarised them in a new instructions for use.,New instructions of use (see attached).,Hospital/Pharmacy/Laboratory,Class 2,Terminated,Recall / Field Safety Notice,sau-ophthalmic-tonometers-applanation-tonometer-measuring-prisms,Saudi Food & Drug Authority,,
99ad2404-c145-4de6-a3a5-39b74091b061,2025-07-29,,death dftected in infusion pump,terminated,Public Recall,Class 1,,field safety,infusion pump,MHRA,Meditech Corp,infusion pump
