Event_ID,Date,Country,Reason,Action_Summary,Action_Level,Action_Classification,Status,Type,Device,Source,manufacturer_name,device_name
00ec04d9-d2ea-4b88-85db-d6dd01888ee1,11/09/18,IND,software error detected in diagnostic monitor,software update,Hospital,Class 2,classified,field safety,diagnostic monitor,CDSCO,GlobalMed,diagnostic monitor
6723a1dd-d9fd-47d3-8214-079fb74e92ff,15/04/17,BRA,paperwork detected in dressing,software update,Retail,Class 3,terminated,recall,dressing,EMA,GlobalMed,dressing
7b804cdc-637e-48ea-8103-6d84a2ec7a3c,21/12/16,USA,documentation update detected in dressing,recall,Retail,Class 3,terminated,field safety,dressing,CDSCO,GlobalMed,dressing
818fef38-adab-4a11-a660-1b743fb6ed5f,11/10/19,FRA,performance issue detected in laser therapy unit,recall,Hospital,Class 2,open,safety alert,laser therapy unit,MHRA,GlobalMed,laser therapy unit
636eb767-ead2-4f50-969b-aac07c9f5128,14/01/16,MEX,software error detected in ultrasound machine,software update,Sponsor Control,Class 2,open,field safety,ultrasound machine,Health Canada,GlobalMed,ultrasound machine
4edd30d4-7001-4dc8-8658-539dca9bc844,14/10/23,JPN,serious injury detected in surgical implant,recall,Hospital,Class 1,terminated,safety alert,surgical implant,PMDA,MediNova,surgical implant
31d7af40-063c-4e5e-bc54-6aeac8de00c5,30/08/16,JPN,quality problem detected in ultrasound machine,recall,Hospital,Class 2,open,recall,ultrasound machine,Health Canada,GlobalMed,ultrasound machine
17463047-16a7-497b-8b2b-e15b744f6d9a,07/09/23,CHN,malfunction detected in x-ray device,recall,Sponsor Control,Class 2,terminated,safety alert,x-ray device,MHRA,BioCare,x-ray device
cb2f51d6-2dbc-4b82-aa6e-b37a6d2fb2fc,02/10/15,JPN,packaging detected in bandage,recall,Retail,Class 3,open,safety alert,bandage,TGA,BioCare,bandage
8a893885-1a9d-4eb8-a164-a8ddc0d5cee5,03/12/22,IND,malfunction detected in x-ray device,recall,Hospital,Class 2,open,field safety,x-ray device,TGA,BioCare,x-ray device
d79a2922-fcfe-4a85-b95b-4f3b54e23553,09/08/19,CHN,implant detected in ventilator,terminated,Public Recall,Class 1,open,recall,ventilator,MHRA,GlobalMed,ventilator
994dd18f-c4bf-45a2-b9fd-4b04d5a8af1e,18/07/20,GBR,death detected in cardiac pacemaker,terminated,Public Recall,Class 1,open,safety alert,cardiac pacemaker,TGA,BioCare,cardiac pacemaker
62ab73d1-4dc0-4e87-b380-9bb7810549af,04/08/23,AUS,paperwork detected in catheter,software update,Sponsor Control,Class 3,terminated,recall,catheter,FDA,MediNova,catheter
7ae1714e-50b5-4a58-8c42-188535b07757,13/08/21,DEU,explosion detected in cardiac pacemaker,terminated,Public Recall,Class 1,terminated,recall,cardiac pacemaker,TGA,MediNova,cardiac pacemaker
9ec951d4-560d-4806-994f-ad46f95cf6b4,16/06/19,DEU,cardiac detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,open,safety alert,cardiac pacemaker,CDSCO,BioCare,cardiac pacemaker
7b5fa56e-2eb4-48b6-8533-6b6e77640b4b,09/10/18,AUS,serious injury detected in defibrillator,recall,Public Recall,Class 1,open,safety alert,defibrillator,EMA,BioCare,defibrillator
893d77a4-997e-4b07-9085-8e571abbe243,03/08/23,USA,infection detected in ventilator,terminated,Healthcare Professional,Class 1,classified,recall,ventilator,TGA,BioCare,ventilator
791a1b6f-d9df-4842-961b-d1ad8bcc6cae,04/02/23,CHN,cosmetic defect detected in disposable glove,software update,Retail,Class 3,open,recall,disposable glove,EMA,MediNova,disposable glove
34ae2fa3-c5a1-45d9-bdfc-4b61058f3667,23/10/24,FRA,implant detected in ventilator,terminated,Healthcare Professional,Class 1,open,recall,ventilator,MHRA,GlobalMed,ventilator
80da6422-b436-4c73-a0a2-b85443ffb4d4,05/12/16,AUS,fatal detected in infusion pump,recall,Public Recall,Class 1,classified,field safety,infusion pump,FDA,BioCare,infusion pump
4511fd2f-ded1-4f16-b145-3bcd7a7e1324,16/04/23,USA,instruction correction detected in bandage,software update,Sponsor Control,Class 3,classified,safety alert,bandage,TGA,BioCare,bandage
0b52046f-dfa9-4a5d-bd26-55156345356b,22/09/23,MEX,death detected in ventilator,terminated,Public Recall,Class 1,terminated,safety alert,ventilator,EMA,MediNova,ventilator
345f5725-9fde-4622-9ef2-693f9d688532,31/07/16,,documentation update detected in bandage,software update,Retail,Class 3,,safety alert,bandage,MHRA,GlobalMed,bandage
af417c22-269d-41e3-9bdd-27311e1ebd44,13/01/16,,implant detected in surdical implant,terminated,Healthcare Professional,Class 1,,safety alert,surgical implant,TGA,GlobalMed,surgical implant
80816f56-4420-479c-89c0-a3fba58d6c10,06/03/25,JPN,death detected in cardiac pacemaker,terminated,Hospital,Class 1,open,field safety,cardiac pacemaker,CDSCO,GlobalMed,cardiac pacemaker
1b3e707a-0cab-46c6-b246-f389c2f97476,07/11/20,USA,infection detected in cardiac pacemaker,software update,Public Recall,Class 1,classified,safety alert,cardiac pacemaker,EMA,MediNova,cardiac pacemaker
178c92dc-8ffc-419a-89eb-ee156e5ef7f6,20/07/25,CHN,cosmetic defect detected in dressing,software update,Sponsor Control,Class 3,terminated,field safety,dressing,MHRA,GlobalMed,dressing
f4bf0b0d-fd2d-4c2d-9226-0f6974961d4e,28/06/23,IND,quality problem detected in diagnostic monitor,recall,Hospital,Class 2,terminated,safety alert,diagnostic monitor,TGA,BioCare,diagnostic monitor
795f2c9b-d0b7-4aff-ae82-ce8853348d64,07/12/22,CAN,cardiac detected in defibrillator,recall,Public Recall,Class 1,open,safety alert,defibrillator,Health Canada,GlobalMed,defibrillator
69b2d4b9-c219-4634-af4d-0afecdec1e8f,01/11/23,AUS,explosion detected in cardiac pacemaker,terminated,Public Recall,Class 1,classified,safety alert,cardiac pacemaker,EMA,MediNova,cardiac pacemaker
1a01804c-437b-40f9-a4c0-17215b16cb46,15/02/24,JPN,software error detected in ultrasound machine,terminated,Wholesale,Class 2,terminated,recall,ultrasound machine,MHRA,BioCare,ultrasound machine
ec2c55d3-b745-47f7-b3b1-39418d10429e,16/06/24,MEX,fatal detected in defibrillator,terminated,Public Recall,Class 1,open,recall,defibrillator,EMA,MediNova,defibrillator
1da78964-9f9a-4c57-ba83-02357536334a,11/11/16,CHN,death detected in cardiac pacemaker,terminated,Hospital,Class 1,open,recall,cardiac pacemaker,FDA,GlobalMed,cardiac pacemaker
06674cfc-323a-4134-bd0a-6f73ce89905a,04/08/19,DEU,death detected in surgical implant,recall,Hospital,Class 1,open,recall,surgical implant,TGA,GlobalMed,surgical implant
53c7c56a-1652-46d5-a8c2-780070fae5a1,30/05/17,CHN,death detected in infusion pump,software update,Public Recall,Class 1,classified,recall,infusion pump,EMA,GlobalMed,infusion pump
b97bb176-1775-4c23-8185-334502f5fac7,06/04/21,AUS,malfunction detected in laser therapy unit,terminated,Wholesale,Class 2,terminated,recall,laser therapy unit,MHRA,GlobalMed,laser therapy unit
c6c4e44f-6fc9-42b7-b92e-4c6cbace215a,06/05/17,CAN,software error detected in ultrasound machine,recall,Hospital,Class 2,terminated,recall,ultrasound machine,CDSCO,MediNova,ultrasound machine
58f4b6fc-79fa-4c10-904a-501c23f56f29,16/05/23,USA,quality problem detected in laser therapy unit,terminated,Hospital,Class 2,terminated,safety alert,laser therapy unit,MHRA,GlobalMed,laser therapy unit
0b574364-5d20-4a1e-9a4e-31c5300036da,17/04/17,DEU,paperwork detected in disposable glove,recall,Sponsor Control,Class 3,terminated,safety alert,disposable glove,TGA,BioCare,disposable glove
58ba8c1e-d178-43db-b25e-d3c720a8f3e5,21/06/17,AUS,implant detected in ventilator,software update,Public Recall,Class 1,open,recall,ventilator,EMA,GlobalMed,ventilator
37b8d69d-9a5e-4bac-ae29-400be14286ed,02/12/18,CAN,serious injury detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,terminated,recall,cardiac pacemaker,CDSCO,MediNova,cardiac pacemaker
b607b2c6-5737-40fc-bcfd-9c9530bfb4a9,28/04/21,JPN,software error detected in diagnostic monitor,software update,Hospital,Class 2,classified,recall,diagnostic monitor,Health Canada,MediNova,diagnostic monitor
16ad0493-30e0-42d1-941e-607224ddd878,12/10/16,FRA,death detected in cardiac pacemaker,terminated,Healthcare Professional,Class 1,open,field safety,cardiac pacemaker,EMA,GlobalMed,cardiac pacemaker
696f714a-fba9-42c1-b969-56c4ea62bc33,09/12/17,USA,documentation update detected in dressing,software update,Sponsor Control,Class 3,terminated,recall,dressing,PMDA,GlobalMed,dressing
dc495e03-a38d-48ac-a2f4-d4c575540a90,07/04/18,BRA,serious injury detected in ventilator,terminated,Hospital,Class 1,classified,recall,ventilator,EMA,MediNova,ventilator
919ba416-cd30-475d-8e23-10ebbd4194d8,27/11/19,GBR,cardiac detected in infusion pump,terminated,Hospital,Class 1,classified,field safety,infusion pump,TGA,BioCare,infusion pump
ce6285df-c753-4709-b502-bd8e9a0ed3f7,18/05/21,,herious injury detected in defibrillator,recall,Public Recall,Class 1,,field safety,defibrillator,Health Canada,BioCare,defibrillator
331b693c-a137-4d86-bde2-599ac5b7e12b,06/04/19,DEU,paperwork detected in syringe,terminated,Retail,Class 3,open,field safety,syringe,MHRA,MediNova,syringe
9bdfa624-44d6-4539-ad97-9de394632615,23/09/23,,performance issue detected in diagnostic monioor,recall,Sponsor Control,Class 2,,field safety,diagnostic monitor,FDA,MediNova,diagnostic monitor
e46fa0dd-100c-4948-8ad3-8fa65f04a1f4,27/12/22,DEU,cosmetic defect detected in syringe,software update,Retail,Class 3,classified,field safety,syringe,EMA,BioCare,syringe
0541c9a8-a5bf-4f03-ae64-080e61cc0826,25/09/19,,implant detected in ventilator,recall,Hospital,Class 1,,safety alert,ventilator,TGA,BioCare,ventilator
495397ac-728c-40ee-90b6-363a7aaee12c,08/05/23,,packaging detected in disposable glcve,software update,Retail,Class 3,,recall,disposable glove,CDSCO,BioCare,disposable glove
68bb9e13-9c37-4ff4-bde4-a87544a4ea9a,04/07/21,GBR,instruction correction detected in disposable glove,software update,Retail,Class 3,terminated,field safety,disposable glove,EMA,MediNova,disposable glove
775ae94c-cfe5-4823-bbf7-1c7dca718923,26/04/25,,instruction correction detected in catheter,software update,Wholesale,Class 3,,field safety,catheter,MHRA,MediNova,catheter
9453d539-344b-471d-af5b-6228729006db,31/10/17,USA,instruction correction detected in disposable glove,software update,Retail,Class 3,classified,recall,disposable glove,CDSCO,MediNova,disposable glove
ef4e75ff-db38-4279-b71d-a2faa0366121,28/05/23,BRA,documentation update detected in dressing,software update,Retail,Class 3,classified,safety alert,dressing,CDSCO,BioCare,dressing
e72e5bef-3194-4b56-bc35-d17a60125695,14/09/17,JPN,cosmetic defect detected in syringe,recall,Wholesale,Class 3,terminated,safety alert,syringe,MHRA,BioCare,syringe
97d4b93b-7f98-4695-b8ae-a597e191a840,13/02/22,USA,infection detected in defibrillator,terminated,Healthcare Professional,Class 1,open,recall,defibrillator,TGA,GlobalMed,defibrillator
cf006ebe-5e79-44b6-98fa-7543ad5f7fa9,05/08/25,CAN,explosion detected in surgical implant,terminated,Hospital,Class 1,terminated,recall,surgical implant,FDA,MediNova,surgical implant
9855ad42-a6ff-4818-9892-7931cb487787,11/03/22,MEX,packaging detected in dressing,software update,Sponsor Control,Class 3,classified,safety alert,dressing,PMDA,MediNova,dressing
592c4a08-d19a-4c5a-9c61-eb70867da402,11/04/17,JPN,cardiac detected in cardiac pacemaker,recall,Healthcare Professional,Class 1,terminated,recall,cardiac pacemaker,EMA,BioCare,cardiac pacemaker
3ff1cf61-12f5-4d60-8319-f92d03e9381f,25/10/16,CHN,fatal detected in infusion pump,recall,Healthcare Professional,Class 1,terminated,recall,infusion pump,PMDA,BioCare,infusion pump
8fd8dc55-68a4-4478-bed1-837f3071c29d,25/02/21,BRA,manufacturing defect detected in diagnostic monitor,terminated,Sponsor Control,Class 2,terminated,safety alert,diagnostic monitor,EMA,MediNova,diagnostic monitor
8038a8ab-f6a6-4b29-b34f-a9d27ff4b60c,25/03/17,CAN,malfunction detected in x-ray device,software update,Wholesale,Class 2,terminated,recall,x-ray device,MHRA,BioCare,x-ray device
db71a8cc-ed4d-4f02-98cd-5f47d8ad1bc8,21/11/17,CAN,implant detected in defibrillator,software update,Public Recall,Class 1,classified,field safety,defibrillator,PMDA,BioCare,defibrillator
86a389fd-1ee2-4bb3-b5de-5640c3458e23,25/02/25,BRA,death detected in defibrillator,recall,Hospital,Class 1,terminated,field safety,defibrillator,MHRA,MediNova,defibrillator
4b62d715-ce3e-4e93-9917-90466974bce0,19/08/21,USA,manufacturing defect detected in diagnostic monitor,software update,Sponsor Control,Class 2,open,recall,diagnostic monitor,CDSCO,BioCare,diagnostic monitor
220e2cfa-680b-4a49-b9fa-5c1ef0553111,14/03/25,FRA,software error detected in diagnostic monitor,terminated,Wholesale,Class 2,open,recall,diagnostic monitor,Health Canada,MediNova,diagnostic monitor
5262cc65-791a-4337-9f3b-481e8f5f77eb,20/08/25,,implant detected in ventilator,terminated,Hospital,Class 1,,field safety,ventilator,Health Canada,GlobalMed,ventilator
17a4d92b-597e-4f28-965e-7dceee6e5052,03/01/19,MEX,fatal detected in surgical implant,terminated,Public Recall,Class 1,terminated,recall,surgical implant,CDSCO,GlobalMed,surgical implant
04849738-2c84-4eeb-a54f-68ba4924eaf5,17/01/19,,death uetected in infusion pump,terminated,Public Recall,Class 1,,safety alert,infusion pump,CDSCO,MediNova,infusion pump
930b727b-8860-4bc0-a4a9-c2b2311fd930,28/03/17,MEX,packaging detected in bandage,software update,Retail,Class 3,terminated,field safety,bandage,FDA,GlobalMed,bandage
4c9a7bd9-2b54-4ef9-a59c-17599fd2db38,26/05/17,FRA,implant detected in defibrillator,terminated,Hospital,Class 1,open,field safety,defibrillator,TGA,BioCare,defibrillator
1f70bc30-c0c3-4965-bf68-c436c6f0ac20,21/01/19,CAN,explosion detected in defibrillator,terminated,Public Recall,Class 1,classified,recall,defibrillator,FDA,GlobalMed,defibrillator
a6016ade-ae58-4b56-bce5-b5deb70a1cbf,31/12/20,MEX,quality problem detected in x-ray device,recall,Hospital,Class 2,open,field safety,x-ray device,CDSCO,GlobalMed,x-ray device
c19f1b68-3236-46f6-8116-dca56003ef13,31/07/25,JPN,packaging detected in bandage,software update,Retail,Class 3,open,safety alert,bandage,CDSCO,BioCare,bandage
3fa37004-4d7c-47f4-95a0-46fd001f579f,16/06/24,JPN,documentation update detected in disposable glove,software update,Sponsor Control,Class 3,classified,safety alert,disposable glove,CDSCO,MediNova,disposable glove
e4dc2741-ddad-4a22-b63c-8eb06849f2a8,12/12/16,USA,infection detected in ventilator,software update,Healthcare Professional,Class 1,terminated,recall,ventilator,MHRA,BioCare,ventilator
1906dbf2-54ef-4eb6-b63e-4019c29a78be,15/08/20,JPN,infection detected in surgical implant,terminated,Healthcare Professional,Class 1,open,field safety,surgical implant,CDSCO,BioCare,surgical implant
75f73909-e290-4680-abcf-3892c61b1b23,21/11/19,MEX,manufacturing defect detected in laser therapy unit,software update,Hospital,Class 2,terminated,safety alert,laser therapy unit,PMDA,BioCare,laser therapy unit
6757c041-cdc3-4b24-9ef3-f6bb340643d1,15/04/20,CHN,fatal detected in cardiac pacemaker,terminated,Public Recall,Class 1,terminated,field safety,cardiac pacemaker,PMDA,GlobalMed,cardiac pacemaker
8d95e648-163d-4a72-ae26-2391e80d4a87,11/03/25,JPN,performance issue detected in diagnostic monitor,software update,Hospital,Class 2,open,field safety,diagnostic monitor,Health Canada,BioCare,diagnostic monitor
8036fd22-6991-4748-8108-3a46f2a2dbd6,16/07/17,,death detected in infuzion pump,recall,Public Recall,Class 1,,recall,infusion pump,PMDA,BioCare,infusion pump
fa4e0740-30d7-4ce2-8d0a-4fd437f10282,04/07/20,GBR,serious injury detected in surgical implant,terminated,Hospital,Class 1,classified,recall,surgical implant,FDA,GlobalMed,surgical implant
89c2143d-34b6-444c-aa6b-e2d4488ff2e9,12/03/21,JPN,documentation update detected in disposable glove,software update,Retail,Class 3,open,safety alert,disposable glove,EMA,BioCare,disposable glove
fef19ef3-fa82-4112-9f50-06a8fb7e9cb6,12/09/19,USA,manufacturing defect detected in x-ray device,software update,Wholesale,Class 2,terminated,field safety,x-ray device,Health Canada,MediNova,x-ray device
c16edb67-97b6-41c4-8df2-fa846641e416,13/01/23,BRA,malfunction detected in ultrasound machine,software update,Wholesale,Class 2,open,recall,ultrasound machine,Health Canada,BioCare,ultrasound machine
8fa3221c-02b0-4b6a-a836-6af90b172626,03/07/16,JPN,infection detected in cardiac pacemaker,terminated,Public Recall,Class 1,open,field safety,cardiac pacemaker,PMDA,BioCare,cardiac pacemaker
5db5134a-8dc2-4c52-bb18-81c6e134f979,15/03/25,,instruction correction detectfd in dressing,software update,Retail,Class 3,,field safety,dressing,CDSCO,MediNova,dressing
47e0dcc7-ddca-478c-87d5-2c2400cc7d8b,07/06/16,USA,instruction correction detected in disposable glove,software update,Sponsor Control,Class 3,open,recall,disposable glove,MHRA,GlobalMed,disposable glove
c82e4a75-2a7e-459a-9937-2064592dea42,25/08/23,,manufacturing defect detected in dnagnostic monitor,recall,Sponsor Control,Class 2,,recall,diagnostic monitor,PMDA,GlobalMed,diagnostic monitor
63842b4a-5dbb-46fe-a0f7-a76d85ede7dd,20/04/24,CAN,malfunction detected in ultrasound machine,recall,Hospital,Class 2,classified,field safety,ultrasound machine,FDA,GlobalMed,ultrasound machine
2d5d18b5-5f6e-4e6e-911a-9afc10e92cb3,29/10/15,,software error deteited in diagnostic monitor,recall,Hospital,Class 2,,safety alert,diagnostic monitor,Health Canada,BioCare,diagnostic monitor
7d03b913-bea5-4b34-9557-78b859a451ea,01/12/17,JPN,serious injury detected in cardiac pacemaker,recall,Public Recall,Class 1,terminated,recall,cardiac pacemaker,CDSCO,GlobalMed,cardiac pacemaker
b1f07387-0e25-4aa6-adbe-28cad888c6be,29/11/23,CAN,implant detected in infusion pump,terminated,Public Recall,Class 1,open,recall,infusion pump,EMA,MediNova,infusion pump
1d60519d-99e4-418f-a039-331f9f0bbbc7,19/05/25,CAN,malfunction detected in x-ray device,recall,Wholesale,Class 2,open,field safety,x-ray device,PMDA,MediNova,x-ray device
b2408524-bc83-40dd-86e8-282eb119020b,11/06/25,AUS,performance issue detected in ultrasound machine,software update,Sponsor Control,Class 2,terminated,field safety,ultrasound machine,CDSCO,MediNova,ultrasound machine
16d8cb93-867a-4b25-9b4e-601d238a696a,22/04/21,AUS,explosion detected in cardiac pacemaker,terminated,Public Recall,Class 1,classified,safety alert,cardiac pacemaker,PMDA,MediNova,cardiac pacemaker
1d78437c-f976-42b6-ba14-36e49a5dbd2a,29/09/18,DEU,documentation update detected in dressing,software update,Retail,Class 3,classified,field safety,dressing,MHRA,BioCare,dressing
379f93e1-faf5-4d32-9853-e0186a17a8cf,15/05/20,,cosmetic defect detected in dressing,software update,Wholesale,Class 3,,field safety,dressing,CDSCO,GlobalMed,dressing
219fd7f8-e545-4e8a-b5cf-1e52b153e5a6,30/07/17,BRA,implant detected in ventilator,terminated,Healthcare Professional,Class 1,terminated,recall,ventilator,EMA,GlobalMed,ventilator
04bede11-d0b5-4e72-9eaa-8c78630e9c98,05/08/19,,serious injury detected in ventilator,terminated,Healthcare Professional,Class 1,,recall,ventilator,CDSCO,GlobalMed,ventilator
42911b9f-b5fa-4f2b-8d4e-57266311d7db,23/05/17,CHN,software error detected in laser therapy unit,terminated,Hospital,Class 2,terminated,recall,laser therapy unit,FDA,MediNova,laser therapy unit
c8c115ff-b8fe-45a0-8737-2b8d626a94ee,21/09/16,IND,serious injury detected in cardiac pacemaker,software update,Healthcare Professional,Class 1,classified,field safety,cardiac pacemaker,EMA,GlobalMed,cardiac pacemaker
6e3524ac-a7f3-427f-b0a6-92c476d40bdf,29/04/21,GBR,manufacturing defect detected in ultrasound machine,software update,Sponsor Control,Class 2,terminated,safety alert,ultrasound machine,PMDA,MediNova,ultrasound machine
c0ae0a22-a48b-47cf-b46f-32c163823e33,27/05/17,,performance isbue detected in ultrasound machine,terminated,Sponsor Control,Class 2,,field safety,ultrasound machine,CDSCO,MediNova,ultrasound machine
683071d6-4413-4e92-aa44-e5babbe38049,18/10/17,BRA,malfunction detected in laser therapy unit,terminated,Wholesale,Class 2,terminated,safety alert,laser therapy unit,CDSCO,BioCare,laser therapy unit
586807dc-e159-4b13-9e1b-ea1d246304c0,09/04/20,,documentation upjate detected in bandage,software update,Wholesale,Class 3,,recall,bandage,MHRA,GlobalMed,bandage
5b58f56f-8a6e-44ec-a2de-f30e776a0e88,25/11/19,GBR,paperwork detected in catheter,software update,Retail,Class 3,classified,safety alert,catheter,MHRA,GlobalMed,catheter
1ce1c20a-b9ab-4378-95bd-c483d562b1ed,01/06/25,,emplosion detected in defibrillator,terminated,Healthcare Professional,Class 1,,recall,defibrillator,TGA,MediNova,defibrillator
2089507e-8b2b-4a2c-b5dc-2f13c41b3926,03/03/25,JPN,malfunction detected in x-ray device,software update,Hospital,Class 2,classified,recall,x-ray device,CDSCO,GlobalMed,x-ray device
4a4e3c86-ad96-4b06-bdfd-0158d1484b24,02/09/17,DEU,cosmetic defect detected in bandage,software update,Retail,Class 3,terminated,field safety,bandage,MHRA,BioCare,bandage
bf90c2c8-ef4d-4a79-afb5-39990cdc280d,12/08/17,CHN,instruction correction detected in dressing,software update,Wholesale,Class 3,classified,recall,dressing,Health Canada,MediNova,dressing
bcaca7c8-f44b-4c12-b7e7-5939dac038a2,25/10/18,FRA,death detected in cardiac pacemaker,recall,Public Recall,Class 1,open,field safety,cardiac pacemaker,FDA,GlobalMed,cardiac pacemaker
9763a832-853b-44af-9c67-296c07a5dcab,29/10/21,MEX,infection detected in cardiac pacemaker,recall,Public Recall,Class 1,classified,recall,cardiac pacemaker,PMDA,BioCare,cardiac pacemaker
2e3f0243-4df3-48c8-a869-41e115098bcf,08/10/24,CHN,instruction correction detected in syringe,software update,Retail,Class 3,terminated,safety alert,syringe,TGA,GlobalMed,syringe
c1993d29-9c1d-4a87-b9ee-909f38065a75,24/02/18,BRA,software error detected in laser therapy unit,recall,Hospital,Class 2,open,safety alert,laser therapy unit,FDA,BioCare,laser therapy unit
fb3dad5a-34c5-408c-b0dc-c23ed8f141e8,19/04/20,BRA,fatal detected in infusion pump,software update,Public Recall,Class 1,terminated,recall,infusion pump,MHRA,GlobalMed,infusion pump
20d4e1dc-4633-4eec-8d3c-64608831dcbb,20/01/20,CAN,paperwork detected in disposable glove,recall,Sponsor Control,Class 3,classified,field safety,disposable glove,TGA,GlobalMed,disposable glove
69d11b4d-ed3a-4912-b9f9-956be2def6ee,28/02/23,GBR,malfunction detected in diagnostic monitor,software update,Sponsor Control,Class 2,classified,field safety,diagnostic monitor,PMDA,MediNova,diagnostic monitor
5f4d2ce3-6919-48af-a3d1-a1e489b77162,21/02/19,GBR,manufacturing defect detected in laser therapy unit,terminated,Hospital,Class 2,open,recall,laser therapy unit,FDA,BioCare,laser therapy unit
36f090f0-5b7a-4753-9811-109ceb58d53a,07/02/22,CAN,implant detected in surgical implant,terminated,Public Recall,Class 1,classified,field safety,surgical implant,MHRA,GlobalMed,surgical implant
62b9f57a-5e26-48b9-8a63-63c4d17248c3,23/02/25,,manufaoturing defect detected in x-ray device,software update,Hospital,Class 2,,safety alert,x-ray device,MHRA,GlobalMed,x-ray device
3cfea492-4d10-4651-93ec-36b928bdb327,04/04/24,CAN,quality problem detected in laser therapy unit,recall,Hospital,Class 2,terminated,field safety,laser therapy unit,PMDA,BioCare,laser therapy unit
e4cb2858-5ed3-4084-9a5a-8385c812b0cf,16/10/19,CHN,paperwork detected in syringe,software update,Wholesale,Class 3,open,safety alert,syringe,PMDA,MediNova,syringe
